date_of_install,ID
20170928,3
20170929,1
20171001,1
20171003,2
20171007,1
20171009,1
20171012,1
20171013,2
20171016,1
20171018,1
20171022,1
20171023,6
20171024,3
20171025,22
20171026,7
20171027,13
20171028,16
20171029,12
20171030,11
20171031,13
20171101,9
20171102,8
20171103,4
20171104,4
20171105,6
20171106,1
20171107,24
20171108,42
20171109,13
20171110,16
20171111,13
20171112,13
20171113,12
20171114,18
20171115,8
20171116,11
20171117,9
20171118,38
20171119,31
20171120,16
20171121,13
20171122,10
20171123,9
20171124,9
20171125,9
20171126,16
20171127,8
20171128,32
20171129,10
20171130,18
20171201,25
20171202,16
20171203,15
20171204,17
20171205,11
20171206,19
20171207,15
20171208,11
20171209,19
20171210,11
20171211,9
20171212,8
20171213,5
20171214,9
20171215,7
20171216,6
20171217,9
20171218,10
20171219,65
20171220,167
20171221,215
20171222,73
20171223,50
20171224,62
20171225,67
20171226,89
20171227,51
20171228,91
20171229,86
20171230,94
20171231,55
20180101,47
20180102,29
20180103,24
20180104,33
20180105,32
20180106,57
20180107,42
20180108,14
20180109,29
20180110,69
20180111,92
20180112,100
20180113,56
20180114,48
20180115,30
20180116,42
20180117,41
20180118,32
20180119,42
20180120,68
20180121,79
20180122,37
20180123,22
20180124,70
20180125,49
20180126,45
20180127,47
20180128,70
20180129,44
20180130,29
20180131,53
20180201,39
20180202,28
20180203,112
20180204,76
20180205,60
20180206,92
20180207,60
20180208,80
20180209,107
20180210,87
20180211,143
20180212,99
20180213,66
20180214,51
20180215,32
20180216,40
20180217,47
20180218,47
20180219,29
20180220,20
20180221,25
20180222,17
20180223,26
20180224,63
20180225,62
20180226,46
20180227,48
20180228,24
20180301,22
20180302,27
20180303,37
20180304,45
20180305,24
20180306,37
20180307,52
20180308,29
20180309,47
20180310,60
20180311,48
20180312,52
20180313,30
20180314,46
20180315,41
20180316,31
20180317,28
20180318,36
20180319,23
20180320,23
20180321,32
20180322,26
20180323,27
20180324,37
20180325,38
20180326,31
20180327,44
20180328,38
20180329,184
20180330,125
