date_of_install,ID
20170928,2
20170929,1
20171001,1
20171003,1
20171007,1
20171009,1
20171012,1
20171013,1
20171023,5
20171025,14
20171026,6
20171027,7
20171028,10
20171029,6
20171030,5
20171031,4
20171101,7
20171102,3
20171103,2
20171104,2
20171105,4
20171107,13
20171108,27
20171109,5
20171110,7
20171111,9
20171112,6
20171113,2
20171114,9
20171115,3
20171116,9
20171117,7
20171118,20
20171119,16
20171120,7
20171121,9
20171122,6
20171123,3
20171124,4
20171125,4
20171126,4
20171127,4
20171128,12
20171129,2
20171130,12
20171201,12
20171202,10
20171203,8
20171204,8
20171205,3
20171206,9
20171207,4
20171208,5
20171209,9
20171210,2
20171211,5
20171212,5
20171213,3
20171214,4
20171215,1
20171216,3
20171217,4
20171218,3
20171219,26
20171220,54
20171221,87
20171222,20
20171223,20
20171224,22
20171225,22
20171226,22
20171227,21
20171228,34
20171229,24
20171230,28
20171231,20
20180101,16
20180102,11
20180103,10
20180104,14
20180105,14
20180106,20
20180107,20
20180108,10
20180109,11
20180110,32
20180111,32
20180112,40
20180113,18
20180114,18
20180115,16
20180116,16
20180117,18
20180118,17
20180119,18
20180120,26
20180121,37
20180122,14
20180123,10
20180124,29
20180125,17
20180126,22
20180127,16
20180128,25
20180129,13
20180130,10
20180131,23
20180201,15
20180202,10
20180203,32
20180204,21
20180205,12
20180206,24
20180207,16
20180208,26
20180209,17
20180210,14
20180211,29
20180212,25
20180213,17
20180214,17
20180215,11
20180216,8
20180217,9
20180218,12
20180219,6
20180220,8
20180221,9
20180222,1
20180223,5
20180224,9
20180225,12
20180226,6
20180227,7
20180228,4
20180301,6
20180302,6
20180303,10
20180304,9
20180305,6
20180306,5
20180307,13
20180308,6
20180309,6
20180310,21
20180311,5
20180312,9
20180313,5
20180314,12
20180315,8
20180316,4
20180317,1
20180318,4
20180319,7
20180320,5
20180321,9
20180322,11
20180323,7
20180324,11
20180325,14
20180326,4
20180327,7
20180328,7
20180329,33
20180330,23
20180331,10
20180401,12
20180402,26
20180403,6
20180404,14
20180405,16
20180406,9
20180407,5
20180408,8
20180409,2
20180410,8
20180411,7
20180412,14
20180413,5
20180414,6
20180415,8
20180416,4
20180417,11
20180418,5
20180419,6
20180420,2
20180421,5
20180422,6
20180423,1
20180424,5
20180425,13
20180426,3
20180427,6
20180428,12
20180429,4
20180430,7
20180501,1
20180502,8
20180503,6
20180504,8
20180505,5
20180506,5
20180507,4
20180508,5
20180509,3
20180510,4
20180511,4
20180512,1
20180513,1
20180514,4
20180515,8
20180516,4
20180517,4
20180518,3
20180519,4
20180520,4
20180521,5
20180522,5
20180523,7
20180524,11
20180525,8
20180526,11
20180527,12
20180528,5
20180529,12
20180530,2
20180531,6
20180601,3
20180602,4
20180603,3
20180605,6
20180606,4
20180607,3
20180608,5
20180609,4
20180610,4
20180611,1
20180612,2
20180613,5
20180614,3
20180615,1
20180616,2
20180617,6
20180618,3
20180619,7
20180622,5
20180623,5
20180624,2
20180625,4
20180626,3
20180627,5
20180629,8
20180630,3
20180701,6
20180702,2
20180703,2
20180704,2
20180705,1
20180706,3
20180707,1
20180708,2
20180709,2
20180710,7
20180711,14
20180713,14
20180714,14
20180715,10
20180716,6
20180717,17
20180718,15
20180719,8
20180720,2
20180721,5
20180722,8
20180723,9
20180724,15
20180725,10
20180726,10
20180727,4
20180728,7
20180729,5
20180730,20
20180731,14
20180801,13
20180802,4
20180803,4
20180804,9
20180805,4
20180806,10
20180807,8
20180808,6
20180809,8
20180810,1
20180811,6
20180812,4
20180813,10
20180814,13
20180815,7
20180816,4
20180817,1
20180818,4
20180819,8
20180820,5
20180821,6
20180822,8
20180823,11
20180824,11
20180825,5
20180826,10
20180827,8
20180828,7
20180829,11
20180830,4
20180831,6
20180901,3
20180903,2
20180904,7
20180905,2
20180906,1
20180908,3
20180909,2
20180910,5
20180911,5
20180912,1
20180913,3
20180914,4
20180915,1
20180916,2
20180918,4
20180919,5
20180920,1
20180921,6
20180922,7
20180923,3
20180926,4
20180927,1
20180928,3
20180929,1
20180930,1
20181001,4
20181002,13
20181003,3
20181004,4
20181005,4
20181006,1
20181007,3
20181008,4
20181009,3
20181010,2
20181011,3
20181012,1
20181013,3
20181014,5
20181015,1
20181016,13
20181017,4
20181018,31
20181019,9
20181020,3
20181021,16
20181022,6
20181023,5
20181024,7
20181025,10
20181028,4
20181029,3
20181030,8
20181031,1
20181101,3
20181102,4
20181103,5
20181104,2
20181105,2
20181106,4
20181107,7
20181108,3
20181109,1
20181111,7
20181112,2
20181113,2
20181114,4
20181115,7
20181116,5
20181117,6
20181118,5
20181119,1
20181120,2
20181121,1
20181122,1
